date,coral_id,bouyantweight_g,air_temp_c,air_weight_g,fresh_temp_c,fresh_weight_g,salt_temp_c,salt_weight_g,density_aragonite,wound,fish,density_stopper,density_sw,dry_mass,coral_vol,dry_mass_delta,vol_delta
20240813,45,13.2648,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Large,Fish,2.234334206,0.987500554,20.0081725,10.30022044,14.24931176,7.646299939
20240813,47,18.4507,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,Fish,2.234334206,0.987500554,27.83040742,14.32711215,1.218991544,0.921324036
20240813,48,11.6562,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,No Wound,No Fish,2.234334206,0.987500554,17.58181505,9.05113002,0.784091585,0.570245421
20240813,49,25.431,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,No Fish,2.234334206,0.987500554,38.35925418,19.74736943,1.234921837,0.994891776
20240813,50,18.5264,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,No Fish,2.234334206,0.987500554,27.94459072,14.38589379,1.053592909,0.835658751
20240813,55,19.6786,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Large,Fish,2.234334206,0.987500554,29.68252996,15.28058606,1.23783352,0.91771178
20240813,56,16.5499,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,Fish,2.234334206,0.987500554,24.96330544,12.85112616,0.7801539,0.63513904
20240813,58,23.699,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Large,No Fish,2.234334206,0.987500554,35.74676437,18.40245795,1.097713756,0.899314843
20240813,59,8.2373,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Large,No Fish,2.234334206,0.987500554,12.42486274,6.396327561,0.463137329,0.355328638
20240813,61,15.787,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,Fish,2.234334206,0.987500554,23.81257307,12.25872837,0.789809235,0.629759064
20240813,62,28.0579,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,Fish,2.234334206,0.987500554,42.32158066,21.78717772,1.05838014,0.938348315
20240813,63,18.0895,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,No Wound,Fish,2.234334206,0.987500554,27.28558564,14.04663754,0.78718458,0.689152549
20240813,64,23.3828,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,No Wound,No Fish,2.234334206,0.987500554,35.26981906,18.15692619,1.162373226,0.928861795
20240813,65,11.4403,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Large,No Fish,2.234334206,0.987500554,17.25615884,8.883481989,0.704120609,0.544120128
20240813,67,17.4388,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,No Wound,No Fish,2.234334206,0.987500554,26.30409193,13.54136393,0.542684846,0.522897851
20240813,69,19.3335,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Large,No Fish,2.234334206,0.987500554,29.16199287,15.01261322,1.021751193,0.799790684
20240813,71,18.1131,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Large,No Fish,2.234334206,0.987500554,27.32118308,14.06496312,0.958310009,0.749857928
20240813,72,12.9396,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,Fish,2.234334206,0.987500554,19.5176519,10.04770011,0.610830425,0.497038537
20240813,74,17.1065,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,No Wound,Fish,2.234334206,0.987500554,25.80286193,13.28333039,0.970761372,0.770519291
20240813,75,22.4389,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Large,Fish,2.234334206,0.987500554,33.84607245,17.42398049,1.024187608,0.879907175
20240813,76,15.5383,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,No Fish,2.234334206,0.987500554,23.43744246,12.06561088,0.988888261,0.756112063
20240813,77,14.2784,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,No Wound,Fish,2.234334206,0.987500554,21.53705221,11.08728873,0.823238037,0.626630532
20240813,78,20.9292,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,No Wound,No Fish,2.234334206,0.987500554,31.5688924,16.25168669,0.913890123,0.765117988
20240813,79,16.4708,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Large,No Fish,2.234334206,0.987500554,24.8439937,12.78970439,0.914243307,0.73115481
20240813,80,14.9715,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,No Fish,2.234334206,0.987500554,22.58250065,11.62548627,0.839671169,0.669139608
20240813,81,14.7209,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,No Wound,Fish,2.234334206,0.987500554,22.20450414,11.43089342,0.748734805,0.593654773
20240813,83,10.9348,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,No Wound,No Fish,2.234334206,0.987500554,16.49367986,8.490957305,0.682682002,0.525155495
20240813,84,13.7459,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,No Wound,No Fish,2.234334206,0.987500554,20.73384735,10.67379833,0.751832061,0.581937217
20240813,85,10.974,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,No Wound,No Fish,2.234334206,0.987500554,16.55280781,8.52139641,0.626126977,0.478158281
20240813,86,15.4944,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,No Wound,No Fish,2.234334206,0.987500554,23.3712252,12.03152219,1.000198997,0.761379549
20240813,87,13.2744,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,No Fish,2.234334206,0.987500554,20.02265281,10.30767491,0.794150361,0.619356492
20240813,88,15.5035,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,No Wound,No Fish,2.234334206,0.987500554,23.38495133,12.03858841,0.891101979,0.678944551
20240813,89,11.4787,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,No Fish,2.234334206,0.987500554,17.3140801,8.913299888,0.735014189,0.542106585
20240813,91,9.2984,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,No Fish,2.234334206,0.987500554,14.02538984,7.220279969,0.424870536,0.364863997
20240813,95,19.1361,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Large,No Fish,2.234334206,0.987500554,28.86424143,14.85933059,0.739140471,0.649038114
20240813,96,10.8033,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,Fish,2.234334206,0.987500554,16.29532974,8.388846532,0.664875586,0.496122027
20240813,98,16.4331,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,No Wound,No Fish,2.234334206,0.987500554,24.7871283,12.76043005,0.855605052,0.69979967
20240813,99,10.7645,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Large,Fish,2.234334206,0.987500554,16.23680514,8.35871803,0.622575329,0.4910068
20240813,100,9.5293,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,Fish,2.234334206,0.987500554,14.37367154,7.399575616,0.618425543,0.46998602
20240813,101,16.5374,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,Fish,2.234334206,0.987500554,24.94445087,12.84141981,0.993885704,0.773976176
20240813,102,11.8562,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,No Wound,Fish,2.234334206,0.987500554,17.88348824,9.206431576,0.712907196,0.555076724
20240813,103,14.0331,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Large,No Fish,2.234334206,0.987500554,21.16705005,10.89681137,0.892544759,0.659582112
20240813,104,13.1439,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,No Fish,2.234334206,0.987500554,19.82581106,10.20634065,0.732608954,0.563630109
20240813,105,16.2373,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,No Fish,2.234334206,0.987500554,24.49179025,12.60838982,0.967090557,0.728792783
20240813,106,15.1493,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,Fish,2.234334206,0.987500554,22.85068811,11.76354936,0.913001035,0.685570616
20240813,107,11.1064,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Large,Fish,2.234334206,0.987500554,16.75251546,8.624206041,0.676308137,0.506258282
20240813,108,13.6023,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,No Wound,Fish,2.234334206,0.987500554,20.517246,10.56229182,0.591911756,0.496194763
20240813,109,12.2296,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Large,Fish,2.234334206,0.987500554,18.44671208,9.496379583,0.664716641,0.515553647
20240813,110,19.6353,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Large,Fish,2.234334206,0.987500554,29.61721771,15.24696327,1.108599093,0.881448109
20240813,111,12.4017,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Large,No Fish,2.234334206,0.987500554,18.70630186,9.630016572,0.59285046,0.480259704
20240813,112,22.4898,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,No Wound,No Fish,2.234334206,0.987500554,33.92284828,17.46350474,1.236568813,0.955512567
20240813,113,17.9351,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Large,Fish,2.234334206,0.987500554,27.05269394,13.92674474,1.141916767,0.843608853
20240813,114,7.8947,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,Fish,2.234334206,0.987500554,11.90809657,6.130295994,0.573603941,0.408511437
20240813,115,24.2549,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,No Fish,2.234334206,0.987500554,36.585265,18.83411863,1.395378351,1.062858768
20240813,116,13.182,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,Fish,2.234334206,0.987500554,19.8832798,10.2359256,0.793565554,0.617639993
20240813,117,11.3686,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,No Wound,No Fish,2.234334206,0.987500554,17.14800901,8.827806381,0.718760168,0.550710881
20240813,118,10.7944,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,No Wound,Fish,2.234334206,0.987500554,16.28190529,8.381935612,0.696151436,0.512384783
20240813,119,15.2443,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Large,Fish,2.234334206,0.987500554,22.99398287,11.8373176,0.951569667,0.732038154
20240813,120,22.9864,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,No Wound,Fish,2.234334206,0.987500554,34.67190281,17.8491185,1.218511342,0.990262325
20240813,121,14.2154,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Large,No Fish,2.234334206,0.987500554,21.44202516,11.03836874,0.842899363,0.636068564
20240813,122,18.9906,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,Fish,2.234334206,0.987500554,28.64477419,14.7463487,0.882474514,0.722135981
20240813,123,11.9137,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Large,Fish,2.234334206,0.987500554,17.97021928,9.251080774,0.669828275,0.513909287
20240813,124,19.4409,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,No Fish,2.234334206,0.987500554,29.32399137,15.09601016,1.143563755,0.865074282
20240813,125,11.7152,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,No Wound,Fish,2.234334206,0.987500554,17.67080864,9.096943979,0.859336955,0.610471576
20240813,126,12.6297,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Large,Fish,2.234334206,0.987500554,19.05020929,9.807060347,0.771130824,0.576775245
20240813,127,18.748,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Large,Fish,2.234334206,0.987500554,28.27884461,14.55796792,1.200206863,0.885267614
20240813,128,13.3703,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,No Wound,Fish,2.234334206,0.987500554,20.16730511,10.38214201,0.671856082,0.534901054
20240813,129,11.3126,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,No Fish,2.234334206,0.987500554,17.06354051,8.784321946,0.727990243,0.53615433
20240813,130,13.488,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Large,No Fish,2.234334206,0.987500554,20.34483978,10.47353698,0.879225271,0.667271889
