coral_id,f0,fm,fv_fm,wound,fish,tank,initial_wound_size
130,414,1292,679,Large,No Fish,6,3.805
129,205,600,658,Small,No Fish,4,
128,490,1485,670,No Wound,Fish,1,
127,380,1190,680,Large,Fish,3,4.745
126,534,1663,678,Large,Fish,1,3.363
125,494,1419,668,No Wound,Fish,3,
124,326,928,648,Small,No Fish,4,0.956
123,354,1150,692,Large,Fish,3,3.713
122,391,1227,681,Small,Fish,3,2.124
121,183,566,676,Large,No Fish,2,2.744
120,510,1594,680,No Wound,Fish,5,
119,347,1104,685,Large,Fish,5,4.558
118,325,1023,682,No Wound,Fish,1,
117,333,1090,694,No Wound,No Fish,6,
116,522,1531,695,Small,Fish,5,1.834
115,365,1161,685,Small,No Fish,2,1.389
114,453,1506,699,Small,Fish,3,1.097
113,457,1437,681,Large,Fish,3,3.443
112,397,1284,690,No Wound,No Fish,4,
111,328,1027,680,Large,No Fish,2,1.915
110,556,1718,676,Large,Fish,5,5.205
109,568,1873,696,Large,Fish,1,2.818
108,329,1117,705,No Wound,Fish,1,
107,505,1658,695,Large,Fish,1,3.593
106,336,1148,707,Small,Fish,3,1.841
105,381,1308,708,Small,No Fish,4,1.616
104,397,1231,677,Small,No Fish,4,1.291
103,420,1211,653,Large,No Fish,4,2.526
102,540,1808,701,No Wound,Fish,5,
101,444,1453,694,Small,Fish,5,1.368
100,446,1396,680,Small,Fish,5,1.561
99,513,1596,678,Large,Fish,5,6.277
98,456,1458,687,No Wound,No Fish,6,
96,390,1216,679,Small,Fish,1,2.598
95,348,1071,675,Large,No Fish,2,1.02
91,339,1124,697,Small,No Fish,5,1.593
90,503,1625,690,No Wound,Fish,1,
89,241,742,675,Small,No Fish,2,1.513
88,377,1246,697,No Wound,No Fish,2,
87,574,1932,702,Small,No Fish,6,1.326
86,290,895,675,No Wound,No Fish,6,
85,338,1049,677,No Wound,No Fish,4,
84,325,949,657,No Wound,No Fish,4,
83,431,1378,687,No Wound,No Fish,6,
81,486,1585,693,No Wound,Fish,3,
80,329,1039,683,Small,No Fish,6,1.284
79,340,1064,608,Large,No Fish,6,3.624
78,511,1603,681,No Wound,No Fish,2,
77,416,1355,692,No Wound,Fish,3,
76,345,1112,689,Small,No Fish,6,1.346
75,401,1282,687,Large,Fish,5,6.188
74,437,1341,674,No Wound,Fish,5,
72,483,1565,691,Small,Fish,3,1.895
71,446,1363,672,Large,No Fish,4,3.488
69,277,880,685,Large,No Fish,4,3.638
67,329,1055,688,No Wound,No Fish,2,
65,333,1021,673,Large,No Fish,6,2.35
64,206,642,671,No Wound,No Fish,4,
63,450,1432,685,No Wound,Fish,5,
62,430,1338,678,Small,Fish,1,1.572
61,489,1500,680,Small,Fish,1,1.073
59,346,1146,698,Large,No Fish,2,4.052
58,350,1122,688,Large,No Fish,2,4.068
56,429,1409,695,Small,Fish,3,4.071
55,241,793,696,Large,Fish,2,1.213
50,322,1039,690,Small,No Fish,6,3.001
49,402,1299,690,Small,No Fish,2,1.531
48,408,1359,699,No Wound,No Fish,1,
47,260,807,677,Small,Fish,6,1.257
46,372,1206,691,No Wound,Fish,3,
45,419,1797,700,Large,Fish,1,4.674